[2022-05-08 00:56:26,987] [26] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 00:56:27,080] [26] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 00:56:27,207] [26] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-05-08 00:56:27,286] [26] 127.0.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-05-08 00:56:27,562] [26] 127.0.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-05-08 00:56:27,729] [26] 127.0.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-05-08 00:56:27,835] [26] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 00:56:27,928] [26] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 00:56:28,053] [26] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-05-08 00:56:28,253] [26] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 00:56:28,263] [26] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 00:56:28,488] [26] 127.0.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-05-08 00:56:28,596] [26] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 00:56:28,698] [26] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 00:56:28,820] [26] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-05-08 00:56:29,004] [26] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 00:56:29,210] [26] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 00:56:29,415] [26] 127.0.0.1 requested http://localhost/aboutINFO in __init__: Processing request
[2022-05-08 00:56:29,635] [26] 127.0.0.1 requested http://localhost/welcomeINFO in __init__: Processing request
[2022-05-08 00:56:29,854] [26] 127.0.0.1 requested http://localhost/page5INFO in __init__: Processing request
[2022-05-08 00:57:35,399] [28] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 00:57:35,829] [28] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-05-08 00:57:35,846] [28] 127.0.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-05-08 00:57:36,089] [28] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 00:57:36,888] [28] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 00:57:37,192] [28] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 00:57:37,489] [28] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 00:57:37,783] [28] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 00:57:38,151] [28] 127.0.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-05-08 00:57:38,361] [28] 127.0.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-05-08 00:57:38,567] [28] 127.0.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-05-08 00:57:38,699] [28] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 00:57:38,806] [28] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 00:57:38,971] [28] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-05-08 00:57:39,472] [28] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
